Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 07-19-2025,,190,-190,,0.29166668653488159,-0.29166668653488159,,4.8046857538347227,-4.8046857538347227,,0.048046857538347233,-0.048046857538347233,,27.142857142857142,-27.142857142857142,,651.42852705352459,-651.42852705352459
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 07-12-2025,,47.5,-47.5,,0.0416666716337204,-0.0416666716337204,,1.0299575462331791,-1.0299575462331791,,0.010299575462331791,-0.010299575462331791,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 07-05-2025,,142.5,-142.5,,0.12500001490116119,-0.12500001490116119,,1.88375963508232,-1.88375963508232,,0.018837596350823202,-0.018837596350823202,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 06-28-2025,,142.5,-142.5,,0.12500001490116119,-0.12500001490116119,,2.0618322274653624,-2.0618322274653624,,0.020618322274653621,-0.020618322274653621,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 06-21-2025,,47.5,-47.5,,0.0416666716337204,-0.0416666716337204,,0.57259979210987233,-0.57259979210987233,,0.0057259979210987234,-0.0057259979210987234,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 06-14-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 06-07-2025,,190,-190,,0.16666668653488159,-0.16666668653488159,,2.5606519005509778,-2.5606519005509778,,0.025606519005509778,-0.025606519005509778,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 05-31-2025,,142.5,-142.5,,0.12500001490116119,-0.12500001490116119,,0.47642575561547174,-0.47642575561547174,,0.0047642575561547169,-0.0047642575561547169,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 05-24-2025,,95,-95,,0.0833333432674408,-0.0833333432674408,,2.1055760147590314,-2.1055760147590314,,0.021055760147590311,-0.021055760147590311,,47.5,-47.5,,1139.9998641014261,-1139.9998641014261
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 05-17-2025,,230.54000854492188,-230.54000854492188,,0.16666668653488159,-0.16666668653488159,,3.1777768459206865,-3.1777768459206865,,0.031777768459206865,-0.031777768459206865,,57.635002136230469,-57.635002136230469,,1383.239886374487,-1383.239886374487
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 05-10-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 05-03-2025,,123.48000335693359,-123.48000335693359,,0.0833333432674408,-0.0833333432674408,,1.9545546501548552,-1.9545546501548552,,0.019545546501548553,-0.019545546501548553,,61.7400016784668,-61.7400016784668,,1481.7598636436626,-1481.7598636436626
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-26-2025,,118.48000335693359,-118.48000335693359,,0.0833333432674408,-0.0833333432674408,,1.8063173821787084,-1.8063173821787084,,0.018063173821787085,-0.018063173821787085,,59.2400016784668,-59.2400016784668,,1421.759870796219,-1421.759870796219
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-19-2025,,185.22000122070312,-185.22000122070312,,0.12500001490116119,-0.12500001490116119,,1.99827265930496,-1.99827265930496,,0.0199827265930496,-0.0199827265930496,,61.740000406901039,-61.740000406901039,,1481.7598331260881,-1481.7598331260881
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-12-2025,,308.70001220703125,-308.70001220703125,,0.208333358168602,-0.208333358168602,,6.1704650677605724,-6.1704650677605724,,0.061704650677605721,-0.061704650677605721,,61.740002441406247,-61.740002441406247,,1481.7598819542072,-1481.7598819542072
